num	url	code_http	encodage
1	https://en.wikipedia.org/wiki/Light	200	UTF-8
2	https://en.wikipedia.org/wiki/Speed_of_light	200	UTF-8
3	https://en.wikipedia.org/wiki/Photon	200	UTF-8
4	https://en.wikipedia.org/wiki/Visible_spectrum	200	UTF-8
5	https://en.wikipedia.org/wiki/Optics	200	UTF-8
6	https://en.wikipedia.org/wiki/Refraction	200	UTF-8
7	https://en.wikipedia.org/wiki/Reflection_(physics)	200	UTF-8
8	https://en.wikipedia.org/wiki/Sunlight	200	UTF-8
9	https://en.wikipedia.org/wiki/Electromagnetic_radiation	200	UTF-8
10	https://en.wikipedia.org/wiki/Lighting	200	UTF-8
