num	url	code_http	encodage
1	https://fr.wikipedia.org/wiki/Lumi%C3%A8re	200	UTF-8
2	https://fr.wikipedia.org/wiki/Lumi%C3%A8re_(physique)	404	UTF-8
3	https://fr.wikipedia.org/wiki/Vitesse_de_la_lumi%C3%A8re	200	UTF-8
4	https://fr.wikipedia.org/wiki/Photon	200	UTF-8
5	https://fr.wikipedia.org/wiki/Optique	200	UTF-8
6	https://fr.wikipedia.org/wiki/Spectre_visible	200	UTF-8
7	https://fr.wikipedia.org/wiki/R%C3%A9fraction	200	UTF-8
8	https://fr.wikipedia.org/wiki/R%C3%A9flexion_(optique)	200	UTF-8
9	https://fr.wikipedia.org/wiki/%C3%89clairage	200	UTF-8
10	https://fr.wikipedia.org/wiki/Si%C3%A8cle_des_Lumi%C3%A8res	200	UTF-8
